Acetylcholinrezeptor	Acetylcholine receptor
Alpha-Linolensäure	Alpha linolenate
Aspartylglucosamin	Aspartylglycosamine
Beta-Galactosidase	Beta galactosidase
Beta-Lactoglobulin	Beta lactoglobulin
Cache-Valley-Virus	Cache valley virus
Carcinoembryonales	Carcinoembryonic
Dehydroaripiprazol	Dehydroaripiprazole
Ecgoninmethylester	Ecgonine methyl ester
Eicosapentaensäure	Eicosapentaenoate
Enterovirus-Subtyp	Enterovirus subtype
Entlassanweisungen	Discharge instructions
Epstein-Barr-Virus	Epstein Barr virus
Gamma-Aminobutyrat	Gamma aminobutyrate
Gamma-Linolensäure	Gamma linolenate
HLA-Untersuchungen	HLA studies
Hintergrundfärbung	Background stain
Hippurat-Kristalle	Hippurate crystals
Hunde-Serumalbumin	Dog serum albumin
Hydrochlorothiazid	hydroCHLOROthiazide
Hämoglobinzylinder	Hemoglobin casts
Informationsquelle	Information source
Kanarienvogelfeder	Canary feather
Kapillarfragilität	Capillary fragility
Leukozytenesterase	Leukocyte esterase
Leukozytenzylinder	Leukocyte casts
Lipoprotein-Muster	Lipoprotein pattern
Maus-Serumproteine	Mouse serum proteins
Onyong-nyong-Virus	Onyong-nyong virus
Pankreas-Inselzell	Pancreatic islet cell
Pelger-Huet-Zellen	Pelger Huet cells
Phenylpropanolamin	Phenylpropanolamine
Phosphat-Kristalle	Phosphate crystals
Phosphoethanolamin	Phosphoethanolamine
Plasmodium-Stadium	Plasmodium stage
Rabies-Virus-Stamm	Rabies virus strain
Sulfadiazin-Silber	Silver sulfADIAZINE
Tumornekrosefaktor	Tumor necrosis factor
Wellensittichfeder	Budgerigar feather
Ziegelmehlsediment	Brickdust deposit
neuronenspezifisch	neuron specific
Affenpocken-Virus	Monkeypox virus
Albumin-Clearance	Albumin clearance
Alpha-Aminoadipat	Alpha aminoadipate
Alpha-Mannosidase	Alpha mannosidase
Amylase-Isoenzyme	Amylase isoenzymes
Bakterienzylinder	Bacterial casts
Carboxyhämoglobin	Carboxyhemoglobin
Chikungunya-Virus	Chikungunya virus
Chinchillaepithel	Chinchilla epithelium
Cytomegalie-Virus	Cytomegalovirus
Desethylamiodaron	Desethylamiodarone
Desoxypyridinolin	Deoxypyridinoline
Docosahexaensäure	Docosahexaenoate
Ebola-Zaire-Virus	Ebola Zaire virus
Entbindungstermin	Delivery date
Erythrozytengröße	Erythrocyte size
Ferritin-Zielwert	Ferritin goal
Gallensäuremuster	Bile acid pattern
Gesamteinstellung	total setting
Gewebe-Polypeptid	Tissue polypeptide
Hepatitis-A-Virus	Hepatitis A virus
Hepatitis-B-Virus	Hepatitis B virus
Hepatitis-C-Virus	Hepatitis C virus
Hepatitis-D-Virus	Hepatitis D virus
Hepatitis-E-Virus	Hepatitis E virus
Hepatitis-G-Virus	Hepatitis G virus
Highlands-J-Virus	Highlands J virus
IMP-Carbapenemase	IMP Carbapenemase
KPC-Carbapenemase	KPC carbapenemase
Kohlenstoffdioxid	Carbon dioxide
Maus-Urinproteine	Mouse urine proteins
NDM-Carbapenemase	NDM Carbapenemase
Nebennierenrinden	Adrenal cortex
Osmolalitätslücke	Osmol gap
Phosphatidylserin	Phosphatidylserine
Pleuraflüssigkeit	plr fld
Probennahme-Datum	Collection date
Proteinfraktionen	Protein fractions
Pyridoxalphosphat	Pyridoxal phosphate
Spermaflüssigkeit	Seminal fluid
Trivittatus-Virus	Trivittatus virus
Tyrosin-Kristalle	Tyrosine crystals
VIM-Carbapenemase	VIM Carbapenemase
Zytoplasmatischer	Cytoplasmic
beta-Untereinheit	beta subunit
durchfallerregend	diarrheagenic
okzipital-frontal	occipital-frontal
orthochromatische	orthochromic
polychromatophile	polychromatophilic
Alpha-Fucosidase	Alpha fucosidase
Alpha-Tocopherol	Alpha tocopherol
Aminosäuremuster	Amino acid pattern
Argininosuccinat	Argininosuccinate
Basalmembranzone	Basement membrane zone
Beta-Glucosidase	Glucosylceramidase
Calculus-Analyse	Calculus analysis
Chlortetracyclin	Chlortetracycline
Cystin-Kristalle	Cystine crystals
DNA-Doppelstrang	DNA double strand
DNA-Einzelstrang	DNA single strand
Entlassanordnung	Discharge disposition
Estrogenrezeptor	Estrogen receptor
Fettsäurenmuster	Fatty acids pattern
Frettchenepithel	Ferret epithelium
Gelbfieber-Virus	Yellow fever virus
Gerinnselbildung	Clot formation
Hämoglobinmuster	Hemoglobin pattern
IgG-Bandenmuster	IgG band pattern
IgM-Bandenmuster	IgM band pattern
Isovalerylglycin	Isovalerylglycine
Kaninchenepithel	Rabbit epithelium
Kaninchenfleisch	Rabbit meat
Kernmembranporen	nuclear membrane pores
Kryoglobulin-Typ	Cryoglobulin type
Körperoberfläche	Body surface
Körpertemperatur	Body temperature
Leucin-Kristalle	Leucine crystals
Medikamentengabe	Medication administration
Methylendianilin	Methylenedianiline
N-Methylhistamin	N-methylhistamine
Negativkontrolle	Negative control
Plasmininhibitor	Plasmin inhibitor
Positivkontrolle	Positive control
Protein-gebunden	protein bound
Ross-River-Virus	Ross river virus
SARS-Coronavirus	SARS coronavirus
Sauerstoffgehalt	Oxygen content
Therapieanamnese	Procedure History of Procedure Treatment history
Thyreoperoxidase	Thyroperoxidase
Vanillinmandelat	Vanillylmandelate
Wellensittichkot	Budgerigar droppings
Xyloseabsorption	Xylose absorption
beta-hämolytisch	beta-hemolytic
hypersegmentiert	hypersegmented
Acetylsalicylat	Acetylsalicylate
Antidrepressiva	Antidepressants
Basenüberschuss	Base excess
Calciumcarbonat	Calcium carbonate
Calciumphosphat	Calcium phosphate
Cefotiamhexetil	Cefotiam hexetil
Chlordiazepoxid	chlordiazePOXIDE
Coxsackie-Virus	Coxsackievirus
Diphtherietoxin	Diphtheria toxin
Dritthäufigstes	Third most predominant hemoglobin
Dyserythropoese	Dyserythropoiesis
Epithelzylinder	Epithelial casts
Ethylglucuronid	Ethyl glucuronide
Fünfthäufigstes	Fifth most predominant hemoglobin
Glucosetoleranz	Glucose tolerance
Guanidinoacetat	Guanidinoacetate
Influenza-Virus	Influenza virus
Insulinrezeptor	Insulin receptor
Kälteagglutinin	Cold agglutinin
Körpermessungen	Body measurements
La-Crosse-Virus	La Crosse virus
Mikroorganismus	Microorganism
Monoaminoxidase	Monoamine oxidase
N-Acetyltyrosin	N-acetyltyrosine
Oropouche-Virus	Oropouche virus
Pertussis-Toxin	pertussis toxin
Pronormoblasten	Pronormoblasts
Propionylglycin	Propionylglycine
Reisestartdatum	Date travel started
Rolitetracyclin	Rolitetracycline
Schweineepithel	Swine epithelium
Schweinefleisch	Pork
Sulfadimethoxin	Sulfadimethoxine
Sulfamethoxazol	Sulfamethoxazole
Trichloroacetat	Trichloroacetate
Truthahnfleisch	Turkey meat
Unspezifizierte	Unspecified cells
Vierthäufigstes	Fourth most predominant hemoglobin
Zell-Fraktionen	Cell fractions
Zweithäufigstes	Second most predominant hemoglobin
immunoblastisch	immunoblastic
niedermolekular	low molecular weight
unidentifiziert	unidentified
Übergangszellen	Transitional cells
Acetylcarnitin	Acetylcarnitine (C2)
Adenylatkinase	Adenylate kinase
Anisochromasie	Anisochromasia
Antikonvulsiva	Anticonvulsants
Autoantikörper	Autoantibodies
Bakterienstamm	Bacterial strain
Baumwollfasern	Cotton fibers
Benzodiazepine	Benzodiazepines
Benzoylecgonin	Benzoylecgonine
Berufsanamnese	Occupation History of Occupation
Beta-Lactamase	Beta lactamase
Eisensättigung	Iron saturation
Fibrin-Stränge	Fibrin strands
Gamma-Globulin	Gamma globulin
Gerinnungszeit	Clotting time
Hamsterepithel	Hamster epithelium
Hausstaubmilbe	Dermatophagoides sp House dust mite IgE Ab
Hexanoylglycin	Hexanoylglycine
Horowitz-Index	Horowitz index
Hydatidenzyste	Hydatid cyst
Kali-Salzkraut	Salsola kali
Katzenschuppen	Cat dander
Kolonienanzahl	Colony
Komplikationen	Complications
Kryofibrinogen	Cryofibrinogen
Lupus-sensitiv	lupus sensitive
Lyse-resistent	lytic resistant
Malondialdehyd	Malondialdehyde
Megakaryozyten	Megakaryocytes
Mesothelzellen	Mesothelial cells
Metamyelozyten	Metamyelocytes
Methamphetamin	Methamphetamine
Methylhippurat	Methylhippurate
Methylphenidat	Methylphenidate
Methylsuccinat	Methylsuccinate
Mikroskopische	microscopic observation
Myeloid-Zellen	Myeloid cells
Nierenfunktion	Renal
Norclomipramin	Norclomipramine
Normetanephrin	Normetanephrine
Norpropoxyphen	Norpropoxyphene
Nortrimipramin	Nortrimipramine
Oxytetracyclin	Oxytetracycline
Panzytokeratin	Pancytokeratin
Papageienfeder	Parrot feather
Papageienserum	Parrot serum
Pferdeschuppen	Horse dander
Powassan-Virus	Powassan virus
Prionenprotein	Prion protein
Prolymphozyten	Prolymphocytes
Propylenglycol	Propylene glycol
Präkeratozyten	Prekeratocytes
Pseudoephedrin	Pseudoephedrine
Pseudozylinder	Pseudocasts
Purkinjezellen	Purkinje cells
Rentierepithel	Reindeer epithelium
Sammelzeitraum	Specimen collection
Stärkegranulat	Starch granules
Succinylaceton	Succinylacetone
Succinylcholin	Succinylcholine
Thymidinkinase	Thymidine kinase
Thyreoglobulin	Thyroglobulin
Trijodthyronin	Triiodothyronine
Trospectomycin	Trospectinomycin
West-Nil-Virus	West Nile virus
glucuronidiert	glucuronidated
makromolekular	macromolecular
mikroskopische	microscopic observation
nicht-dysmorph	non-dysmorphic
nichtverestert	nonesterified
respiratorisch	respiratory
unfraktioniert	unfractionated
Alloisoleucin	Alloisoleucine
Aminoglycosid	Aminoglycoside
Androstanolon	Androstanolone
Androstendion	Androstenedione
Atmungssystem	Respiration
B-Lymphozyten	Lymphocytes B
Baumwollsamen	Cottonseed
Beta-Globulin	Beta globulin
Breitspektrum	extended spectrum
Chloralhydrat	Chloral hydrate
Chlorpromazin	chlorproMAZINE
Chylomikronen	Chylomicrons
Colistimethat	Colistimethate
Corticosteron	Corticosterone
Creatinkinase	Creatine kinase
Demeclocyclin	Demeclocycline
Diaminoxidase	Diamine oxidase
Dihydrocodein	Dihydrocodeine
Dodecanedioat	Dodecanedioate
Dokumentation	Note
Epithelzellen	Epithelial cells
Ethylenglycol	Ethylene glycol
Fibrinmonomer	Fibrin monomer
Fluorchinolon	Fluoroquinolone
Galaktokinase	Galactokinase
Galaktomannan	Galactomannan
Gerbilepithel	Gerbil epithelium
Gliadinpeptid	Gliadin peptide
Golgi-Apparat	Golgi apparatus
Homocitrullin	Homocitrulline
Hornissengift	Hornet venom
Hundeschuppen	Dog dander
Hydroxyprolin	Hydroxyproline
Hühnerfleisch	Chicken meat
Kaninchenhaar	Rabbit hair
Katecholamine	Catecholamines
Körpergewicht	Body weight
Leberfunktion	Liver
Lipidzylinder	Fatty casts
Lymphoblasten	Lymphoblasts
Marburg-Virus	Marburg virus
Methylmalonat	Methylmalonate
Methämoglobin	Methemoglobin
Metoclopramid	Metoclopramide
Mitochondrien	Mitochondria
Normirtazapin	Normirtazapine
Oxyhämoglobin	Oxyhemoglobin
Parietalzelle	Parietal cell
Pferdefleisch	Horse meat
Phenothiazine	Phenothiazines
Phenylbutazon	Phenylbutazone
Phytomenadion	Phytonadione
Poikilozytose	Poikilocytosis
Polychromasie	Polychromasia
Promyelozyten	Promyelocytes
Proteinmuster	Protein pattern
Pyruvatkinase	Pyruvate kinase
Rattenepithel	Rat epithelium
Raucherstatus	Tobacco smoking status
Reiseanamnese	Travel
Retikulozyten	Reticulocytes
Sezary-Zellen	Sezary cells
Sindbis-Virus	Sindbis virus
Speicheldrüse	Salivary gland
Streptokokken	Streptococcal
Suberylglycin	Suberylglycine
Säurehämolyse	Acid hemolysis
Toskana-Virus	Toscana virus
Truthahnfeder	Turkey feather
Tubuluszellen	Tubular cells
Variola-Virus	Variola virus
Wachszylinder	Waxy casts
Ziegenepithel	Goat epithelium
hochmolekular	high molecular weight
nicht-squamös	non-squamous
Abführmittel	Laxatives
Acylcarnitin	Acylcarnitine
Akanthozyten	Acanthocytes
Amitriptylin	Amitriptyline
Anionenlücke	Anion gap
Atemfrequenz	Breaths
Auerstäbchen	Auer rods
Bambermycine	Bambermycins
Basalmembran	Basement membrane
Basendefizit	Base deficit
Bebaru-Virus	Bebaru virus
Blasenzellen	Bladder cells
Blutungszeit	Bleeding time
Buprenorphin	Buprenorphine
Bwamba-Virus	Bwamba virus
Cannabinoide	Cannabinoids
Carbamazepin	carBAMazepine
Cephaloridin	Cephaloridine
Cycloheximid	Cycloheximide
Cystathionin	Cystathionine
Dengue-Virus	Dengue virus
Döhle-Körper	Dohle body
Einwilligung	Consent
Elliptozyten	Elliptocytes
Estronsulfat	Estrone sulfate
Ethylmalonat	Ethylmalonate
Ethylmorphin	Ethylmorphine
Fuchsepithel	Fox epithelium
Geburtsdatum	Birth date
Granulozyten	Granulocytes
Herpes-Virus	Herpes virus
Herzfrequenz	Heart rate
Homovanillat	Homovanillate
Hundeepithel	Dog epithelium
Hydroxylysin	Hydroxylysine
Hyperchromie	Hyperchromia
INR-Zielwert	Coagulation
IgG-Avidität	IgG avidity
Ilheus-Virus	Ilheus virus
Immunkomplex	Immune complex
Isavuconazol	Isavuconazole
Kostenträger	Payment sources
Kryoglobulin	Cryoglobulin
Laborbericht	Laboratory report
Leberzytosol	Liver cytosol
Makroamylase	Macroamylase
Makroblasten	Macroblasts
Masern-Virus	Measles virus
Mayaro-Virus	Mayaro virus
Metanephrine	Metanephrines
Metronidazol	metroNIDAZOLE
Mononukleäre	Mononuclear cells
Mycophenolat	Mycophenolate
Myeloblasten	Myeloblasts
Neutrophiler	Neutrophil
Nitrofurazon	Nitrofurazone
Noradrenalin	Norepinephrine
Norfluoxetin	Norfluoxetine
Normoblasten	Normoblasts
Norolanzapin	Norolanzapine
Norquetiapin	Norquetiapine
Norsertralin	Norsertraline
Nortriptylin	Nortriptyline
Oxcarbazepin	OXcarbazepine
Phencyclidin	Phencyclidine
Phenylalanin	Phenylalanine
Phosphatidat	Phosphatidate
Phosphoserin	Phosphoserine
Plasmazellen	Plasma cells
Pregnantriol	Pregnanetriol
Problemliste	Problem list
Promonozyten	Promonocytes
Prothionamid	Prothionamide
Pseudohyphen	pseudohyphae
Rabies-Virus	Rabies virus
Rheumafaktor	Rheumatoid factor
Röteln-Virus	Rubella virus
Schafepithel	Sheep epithelium
Schistozyten	Schistocytes
Sichelzellen	Sickle cells
Spermatozoen	Spermatozoa
Stomatozyten	Stomatocytes
Sulfathiazol	Sulfathiazole
Sulfisoxazol	sulfiSOXAZOLE
Sulfocystein	Sulfocysteine
Tahyna-Virus	Tahyna virus
Targetzellen	Target cells
Thrombozyten	Platelets
Thyreotropin	Thyrotropin
Vorhergesagt	0 s of forced expiration
bioverfügbar	bioavailable
leukozytisch	leukocyte
pankreatisch	pancreatic
plasmazytoid	plasmacytoid
retikulierte	reticulated
unkonjugiert	unconjugated
vakuolisiert	vacuolated
Abfallseide	Silk waste
Acepromazin	Acepromazine
Acetoacetat	Acetoacetate
Adiponektin	Adiponectin
Aminosäuren	Amino acids
Amphetamine	Amphetamines
Anisozytose	Anisocytosis
Arachidonat	Arachidonate
Aripiprazol	ARIPiprazole
Barbiturate	Barbiturates
Beta-Alanin	Beta alanine
Blasentumor	Bladder tumor
Cabot-Ringe	Cabot rings
Cefoperazon	Cefoperazone
Ceftobiprol	Ceftobiprole
Cholesterin	Cholesterol
Ciclacillin	Cyclacillin
Clomipramin	clomiPRAMINE
Clotrimazol	Clotrimazole
Cocal-Virus	Cocal virus
Cyclosporin	cycloSPORINE
Dakryozyten	Dacryocytes
Decenedioat	Decenedioate
Disopyramid	Disopyramide
Ebola-Virus	Ebola virus
Echinozyten	Burr cells
Elchfleisch	Elk meat
Eosinophile	Eosinophils
Eravacyclin	Eravacycline
Erythrozten	Erythrocytes
Ethanolamin	Ethanolamine
Ethosuximid	Ethosuximide
Ethylacetat	Ethyl acetate
Ethylenoxid	Ethylene oxide
Evernimicin	Everninomicin
Fallbericht	Case report
Fibronektin	Fibronectin
Finkenfeder	Finch feather
Flüssigkeit	fld
Formaldehyd	Formaldehyde
Fructosamin	Fructosamine
Furazolidon	Furazolidone
Gallensäure	Bile acid
Getah-Virus	Getah virus
Histiozyten	Histiocytes
Homocystein	Homocysteine
Hypochromie	Hypochromia
Hypoxanthin	Hypoxanthine
Hämosiderin	Hemosiderin
Hühnerfeder	Chicken feather
Hühnerserum	Chicken serum
Itraconazol	Itraconazole
Kernhaltige	Nucleated cells
Ketoconazol	Ketoconazole
Kuhschuppen	Cow dander
Körpergröße	Body height
Lassa-Virus	Lassa virus
Laufstrecke	Running distance
Lymphozyten	Lymphocytes
Makrophagen	Macrophages
Mausepithel	Mouse epithelium
Meclocyclin	Meclocycline
Medikamente	Drugs
Metanephrin	Metanephrine
Methacyclin	Methacycline
Methaqualon	Methaqualone
Methotrexat	Methotrexate
Monoblasten	Monoblasts
Morphologie	Morphology
Mottenstaub	Mite dust
Mumps-Virus	Mumps virus
Muskatblüte	Mace
Nebennieren	Adrenal
Nerzepithel	Mink epithelium
Neutrophile	Neutrophils
Nicotinamid	Nicotinamide
Nitazoxanid	Nitazoxanide
Norclozapin	Norclozapine
Omadacyclin	Omadacycline
Paracetamol	Acetaminophen
Parathormon	Parathyrin
Polio-Virus	Polio virus
Posaconazol	Posaconazole
Pregnandiol	Pregnanediol
Progesteron	Progesterone
Propoxyphen	Propoxyphene
Pyrazinamid	Pyrazinamide
Pyridinolin	Pyridinoline
Quecksilber	Mercury
Ribosomaler	Ribosomal
Rinderleber	Liver beef
Rindfleisch	Beef
Rocio-Virus	Rocio virus
Rosaramicin	Rosamicin
Saccharopin	Saccharopine
Schafsmilch	Sheep milk
Schafsmolke	Sheep whey
Sphärozyten	Spherocytes
Spirochäten	Spirochete
Stiftzellen	Pencil cells
Stillstatus	Breastfeeding status
Stutenmilch	Mare milk
Sulfadiazin	sulfADIAZINE
Tau-Protein	Tau protein
Taubenfeder	Pigeon feather
Taubenserum	Pigeon serum
Testosteron	Testosterone
Tetracyclin	Tetracycline
Theophyllin	Theophylline
Thiacetazon	Thiacetazone
Thioridazin	Thioridazine
Thrombokrit	Plateletcrit
Tocopherole	Tocopherols
Triglycerid	Triglyceride
Trimeprazin	Trimeprazine
Trimipramin	Trimipramine
Voriconazol	Voriconazole
Wasserstoff	Hydrogen
Weizenkleie	Bran wheat
XXX-Reagenz	XXX reagent
Ziegenmilch	Goat milk
Zytoskelett	Cytoskeleton
fadenförmig	filamentous
funktionell	functional
perinukleär	perinuclear
prostatisch	prostatic
segmentiert	segmented
zentrosomal	centrosomal
Aktivkohle	Charcoal
Aldosteron	Aldosterone
Amphetamin	Amphetamine
Analgetika	Analgesics
Anulozyten	Anulocytes
Bedaquilin	Bedaquiline
Bicarbonat	Bicarbonate
Bisszellen	Bite cells
Bornavirus	Borna disease virus
Bupivacain	Bupivacaine
Cefacetril	Cefacetrile
Cefamandol	Cefamandole
Cefatrizin	Cefatrizine
Cefmenoxim	Cefmenoxime
Cefmetazol	Cefmetazole
Cefpodoxim	Cefpodoxime
Ceftarolin	Ceftaroline
Ceftazidim	cefTAZidime
Ceftizoxim	Ceftizoxime
Ceftriaxon	cefTRIAXone
Chloroquin	Chloroquine
Clavulanat	Clavulanate
Clofazimin	Clofazimine
Clorazepat	Clorazepate
Cobalamine	Cobalamins
Cycloserin	cycloSERINE
Delavirdin	Delavirdine
Desipramin	Desipramine
Diamorphin	Diamorphine
Doxycyclin	Doxycycline
Entenfeder	Duck feather
Erythrozyt	Erythrocyte
Ethionamid	Ethionamide
Fettsäuren	Fatty acids
Fluconazol	Fluconazole
Fluvoxamin	fluvoxaMINE
Geschlecht	Sex
Glutathion	Glutathione
Gänsefeder	Goose feather
Haarzellen	Hairy cells
Helmzellen	Helmet cells
Homocystin	Homocystine
Hyaluronat	Hyaluronate
Hydroxyzin	hydrOXYzine
Häufigstes	Most predominant hemoglobin
IgG-Banden	IgG bands
IgM-Banden	IgM bands
Isoconazol	Isoconazole
Lamotrigin	lamoTRIgine
Leukozyten	Leukocytes
Lymecyclin	Lymecycline
Makrozyten	Macrocytes
Maprotilin	Maprotiline
Meprobamat	Meprobamate
Mikrozyten	Microcytes
Minocyclin	Minocycline
Mirtazapin	Mirtazapine
Moclobemid	Moclobemide
Myelozyten	Myelocytes
Naturseide	Silk wild
Neuronaler	Neuronal
Nitroxolin	Nitroxoline
Normochrom	Normochromic
Normozytär	Normocytic
Ovalozyten	Ovalocytes
Porphyrine	Porphyrins
Propafenon	Propafenone
Präalbumin	Prealbumin
Pyknozyten	Blister cells
Rehepithel	Deer epithelium
Rifampicin	rifAMPin
Rifapentin	Rifapentine
Risperidon	risperiDONE
Salicylate	Salicylates
Sauerstoff	Oxygen
Schokolade	Chocolate
Stickstoff	Nitrogen
Sulfonamid	Sulfonamide
Terbinafin	Terbinafine
Terconazol	Terconazole
Thiocyanat	Thiocyanate
Thrombozyt	Platelet
Tigecyclin	Tigecycline
Venlafaxin	Venlafaxine
Vero-Toxin	Verotoxin
Viskosität	Viscosity
Wespengift	Wasp venom
Zalcitabin	Zalcitabine
Zika-Virus	Zika virus
filamentös	filamentous
kernhaltig	nucleated
langkettig	long chain
mittelreif	mid
monoklonal	monoclonal
stabkernig	band form
titrierbar	titratable
Aciclovir	Acyclovir
Adrenalin	EPINEPHrine
Aluminium	Aluminum
Amantadin	Amantadine
Amiodaron	Amiodarone
Amlodipin	amLODIPine
Asparagin	Asparagine
Atovaquon	Atovaquone
Bakterien	Bacteria
Basophile	Basophils
Carbamate	Carbamates
Cefodizim	Cefodizime
Ceforanid	Ceforanide
Cefotaxim	Cefotaxime
Cefquinom	Cefquinome
Cefuroxim	Cefuroxime
Cephradin	Cephradine
Cimetidin	Cimetidine
Citrullin	Citrulline
Colchicin	Colchicine
Creatinin	Creatinine
Didanosin	Didanosine
Diuretika	Diuretics
Doravirin	Doravirine
Duloxetin	DULoxetine
Flecainid	Flecainide
Flumequin	Flumequine
Fluoxetin	FLUoxetine
Fragmente	Fragments
Furosemid	Furosemide
Galaktose	Galactose
Gerinnsel	Clot
Gerinnung	Coagulation
Glaskraut	Wall pellitory
Glyoxylat	Glyoxylate
Harnstoff	Urea
Harnsäure	Urate
Hausstaub	House dust
Hämopexin	Hemopexin
Hühnerkot	Chicken droppings
IgA-Index	IgA index
IgM-Index	IgM index
Imipramin	Imipramine
Isocyanat	Isocyanate
Isoleucin	Isoleucine
Josamycin	Josamycine
Kaninchen	Rabbit
Kokosnuss	Cocos nucifera
Kristalle	Crystals
Lacosamid	Lacosamide
Lamivudin	lamiVUDine
Latamoxef	Moxalactam
Loperamid	Loperamide
MTHFR-Gen	MTHFR
Meperidin	Meperidine
Mephedron	Mephedrone
Methionin	Methionine
Mevalonat	Mevalonate
Miconazol	Miconazole
Monozyten	Monocytes
Nalidixat	Nalidixate
Nefazodon	Nefazodone
Nevirapin	Nevirapine
Nukleosom	Nucleosome
Nukleärer	Nuclear
Olanzapin	OLANZapine
Omeprazol	Omeprazole
Ornidazol	Ornidazole
Parasiten	Parasites
Paroxetin	PARoxetine
Pipecolat	Pipecolate
Pipemidat	Pipemidate
Piromidat	Piromidate
Pristanat	Pristanate
Prolaktin	Prolactin
Pyridoxin	Pyridoxine
Quetiapin	QUEtiapine
Reiseland	Country of travel
Retikulin	Reticulin
Sertralin	Sertraline
Strychnin	Strychnine
Sulfatide	Sulfatides
Taubenkot	Pigeon droppings
Tinidazol	Tinidazole
Tizoxanid	Tizoxanide
Topiramat	Topiramate
Zentromer	Centromere
Zidovudin	Zidovudine
agranulär	agranular
basophile	basophilic
hefeartig	yeastlike
hypochrom	hypochromic
ionisiert	ionized
klassisch	classic
nephrogen	nephrogenous
nukleolär	nucleolar
plazentar	placental
reduziert	reduced
Aconitat	Aconitate
Adipinat	Adipate
Ammoniak	Ammonia
Amoxapin	Amoxapine
Anabasin	Anabasine
Anamnese	Patient history
Artefakt	Artifact
Ascorbat	Ascorbate
Aspartat	Aspartate
Aussehen	Appearance
Azidität	Acidity
BK-Virus	BK virus
Bierhefe	Yeast brewer's
C-Peptid	C peptide
CFTR-Gen	CFTR
Canrenon	Canrenone
Carnitin	Carnitine
Carnosin	Carnosine
Cefcapen	Cefcapene
Cefpirom	Cefpirome
Chinidin	quiNIDine
Clozapin	cloZAPine
Cortison	Cortisone
Diagnose	Diagnosis
Dialysat	Creatinine ser_plas
Econazol	Econazole
Ephedrin	ePHEDrine
Gelatine	Gelatin
Gesamtei	Egg whole
Glutamat	Glutamate
Glutamin	Glutamine
Hefepilz	Yeast
Hippurat	Hippurate
Histamin	Histamine
Histidin	Histidine
JC-Virus	JC virus
Katalase	Catalase
Klarheit	Clarity
Kollagen	Collagen
Kuhmilch	Cow milk
Kuhmolke	Cow whey
Lidocain	Lidocaine
Linoleat	Linoleate
