Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
キューティバクテリウム検査陽性	Cutibacterium test positive
クエン酸トランスポーター欠損症	Citrate transporter deficiency
クロストリジウム・シンビオサム	Clostridium symbiosum
グロボトリアオシルセラミド増加	Globotriaosylceramide increased
サイトメガロウイルス性胃腸潰瘍	Cytomegalovirus gastrointestinal ulcer
サーファクタントプロテイン増加	Surfactant protein increased
シトロバクター・フロインディイ	Citrobacter freundii
シュードモナス・アルカリゲネス	Pseudomonas alcaligenes
ストレプトコッカス・オラーリス	Streptococcus oralis
ストレプトコッカス・ゴルドニイ	Streptococcus gordonii
ストレプトコッカス・ソブリナス	Streptococcus sobrinus
チオバシラス・チオオキシダンス	Acidithiobacillus thiooxidans
テトラヒドロビオプテリン欠損症	Tetrahydrobiopterin deficiency
デュシェンヌ型筋ジストロフィー	Duchenne muscular dystrophy
デルフチア・アシドボランス感染	Delftia acidovorans infection
トキソプラズマ血清学的検査陰性	Toxoplasma serology negative
トキソプラズマ血清学的検査陽性	Toxoplasma serology positive
トリパノソーマ血清学的検査陽性	Trypanosoma serology positive
ナイミーヘン染色体不安定症候群	Nijmegen breakage syndrome
バクテリオファージLambda	Bacteriophage lambda
バシラスステアロサーモフィラス	Geobacillus stearothermophilus
パラインフルエンザウイルス感染	Parainfluenzae virus infection
パントエア・アグロメランス感染	Pantoea agglomerans infection
ピチウム・インシジオースム感染	Pythium insidiosum infection
フィトフトラ・インフェスタンス	Phytophthora infestans
フソバクテリウム・ヌクレアタム	Fusobacterium nucleatum
プレバイオティクス・ダイエット	Prebiotic diet
ヘモフィルス・パラフロフィルス	Haemophilus paraphrophilus
マイコプラズマファーメンタンス	Mycoplasma fermentans
マルチプルカルボキシラーゼ欠損	Multiple carboxylase deficiency
メタニューモウイルス細気管支炎	Metapneumovirus bronchiolitis
モルシポックスウイルス検査陽性	Molluscipoxvirus test positive
ラジオアイソトープスキャン正常	Radioisotope scan normal
ラジオアイソトープスキャン異常	Radioisotope scan abnormal
レトロウイルスリバウンド症候群	Retroviral rebound syndrome
ロイシンアミノペプチダーゼ上昇	Leucine aminopeptidase increased
ロイシンアミノペプチダーゼ低下	Leucine aminopeptidase decreased
ワタオウサギパピローマウイルス	Cottontail rabbit papillomavirus
下垂体ゴナドトロピン分泌能亢進	Pituitary gonadotropin hyperfunction
先天性サイトメガロウイルス感染	Congenital cytomegalovirus infection
先天性全身性リポジストロフィー	Congenital generalised lipodystrophy
免疫反応性トリプシノーゲン増加	Immunoreactive trypsinogen increased
免疫反応性トリプシノーゲン検査	Immunoreactive trypsinogen assay
免疫反応性トリプシノーゲン減少	Immunoreactive trypsinogen decreased
免疫反応性トリプシノーゲン異常	Immunoreactive trypsinogen abnormal
出生前スクリーニング超音波検査	Ultrasound antenatal screen
単クローン性免疫グロブリン血症	Monoclonal gammopathy
原発性家族性低マグネシウム血症	Primary familial hypomagnesaemia
地中海型ドノバンリーシュマニア	Leishmania infantum
坐骨大腿インピンジメント症候群	Ischiofemoral impingement syndrome
家族性グルココルチコイド欠損症	Familial glucocorticoid deficiency
家族性孤立性副甲状腺機能亢進症	Familial isolated hyperparathyroidism
家族性孤立性副甲状腺機能低下症	Familial isolated hypoparathyroidism
家族性血球貪食性リンパ組織球症	Familial haemophagocytic lymphohistiocytosis
家族性部分的リポジストロフィー	Familial partial lipodystrophy
後天性ミトコンドリアミオパチー	Mitochondrial myopathy acquired
後天性全身性リポジストロフィー	Acquired generalised lipodystrophy
播種性サイトメガロウイルス感染	Disseminated cytomegaloviral infection
最初のエピソードからなる症候群	Clinically isolated syndrome
特発性進行性多発ニューロパチー	Polyneuropathy idiopathic progressive
糖尿病性自律神経ニューロパチー	Diabetic autonomic neuropathy
肩関節内ハイドロダイレーション	Shoulder joint hydrodilatation
胃腸病原体検出キットによる検査	Gastrointestinal pathogen panel
腫瘍のハイパープログレッション	Tumour hyperprogression
透過フォトプレチスモグラフィー	Transmitted light photoplethysmography
遠隔転移を伴うカルチノイド腫瘍	Metastatic carcinoid tumour
顔面肩甲上腕型筋ジストロフィー	Facioscapulohumeral muscular dystrophy
アエロコッカス・ウリナエ感染	Aerococcus urinae infection
アクチノバチラス・イクウリー	Actinobacillus equuli
アスペルギルス・ニデュランス	Aspergillus nidulans
アデノウイルス性出血性膀胱炎	Adenoviral haemorrhagic cystitis
アトピー性皮膚炎のリバウンド	Rebound atopic dermatitis
アルコールリハビリテーション	Alcohol rehabilitation
アルコール性ケトアシドーシス	Alcoholic ketoacidosis
アレルギー性真菌性鼻副鼻腔炎	Allergic fungal rhinosinusitis
インプラント周囲放射線透過性	Radiolucency around implant
エリジペロスリックス検査陽性	Erysipelothrix test positive
エンセファリトズーンクニクリ	Encephalitozoon cuniculi
エンテロコッカスフェカーリス	Enterococcus faecalis
エンテロコッカス・フェシウム	Enterococcus faecium
オキシコルチコステロイド増加	Oxycorticosteroids increased
オルソブニヤウイルス検査陽性	Orthobunyavirus test positive
カプノサイトファーガ性敗血症	Capnocytophaga sepsis
カプノサイトファーガ検査陽性	Capnocytophaga test positive
カンピロバクター・ジェジュニ	Campylobacter jejuni
カンピロバクター・スプトルム	Campylobacter sputorum
キュープリアビダス・ネカター	Cupriavidus necator
クリプトスポリジウム性胃腸炎	Gastroenteritis cryptosporidial
クロストリジウム・セプチカム	Clostridium septicum
グルコシルスフィンゴシン増加	Glucosylsphingosine increased
グルコシルスフィンゴシン正常	Glucosylsphingosine normal
グルコシルスフィンゴシン減少	Glucosylsphingosine decreased
グルコシルスフィンゴシン異常	Glucosylsphingosine abnormal
コクサッキーウイルス性髄膜炎	Meningitis coxsackie viral
コプロポルフィリノーゲン増加	Coproporphyrinogen increased
コプロポルフィリノーゲン減少	Coproporphyrinogen decreased
コリン作動性リバウンド症候群	Cholinergic rebound syndrome
コンピュータ断層撮影膿瘍造影	Computed tomographic abscessogram
コンピュータ断層撮影静脈造影	Computerised tomogram venography
サイトメガロウイルス性単核症	Cytomegalovirus mononucleosis
サイトメガロウイルス性大腸炎	Cytomegalovirus colitis
サイトメガロウイルス性小腸炎	Cytomegalovirus enteritis
サイトメガロウイルス性心筋炎	Cytomegalovirus myocarditis
サイトメガロウイルス性心膜炎	Cytomegalovirus pericarditis
サイトメガロウイルス性胃腸炎	Cytomegalovirus gastroenteritis
サイトメガロウイルス性食道炎	Cytomegalovirus oesophagitis
サイトメガロウイルス感染再燃	Cytomegalovirus infection reactivation
サイトメガロウイルス検査陰性	Cytomegalovirus test negative
サイトメガロウイルス検査陽性	Cytomegalovirus test positive
ザントモナス・カンペストリス	Xanthomonas campestris
シュワネラ・アルガエ性菌血症	Shewanella algae bacteraemia
シュードアレシェリア性敗血症	Pseudallescheria sepsis
ジスキネジア・異常高熱症候群	Dyskinesia hyperpyrexia syndrome
スカンジナビア脳卒中スケール	Scandinavian stroke scale
ステノトロフォモナス性敗血症	Stenotrophomonas sepsis
ステノトロフォモナス性菌血症	Stenotrophomonas bacteraemia
ステノトロフォモナス検査陽性	Stenotrophomonas test positive
ストレプトコッカス・ミティス	Streptococcus mitis
ストレプトマイセスグリセウス	Streptomyces griseus
ソマトスタチン受容体スキャン	Somatostatin receptor scan
デルタレトロウイルス検査陽性	Deltaretrovirus test positive
バイスペクトラルインデックス	Bispectral index
バクテロイデス・ジンジバリス	Porphyromonas gingivalis
バルトネラ・バシリフォルミス	Bartonella bacilliformis
バルト型ミオクロニーてんかん	Baltic myoclonic epilepsy
パッセンジャーリンパ球症候群	Passenger lymphocyte syndrome
パラポックスウイルス検査陽性	Parapoxvirus test positive
ヒトメタニューモウイルス検査	Human metapneumovirus test
ビフィドバクテリウム検査陽性	Bifidobacterium test positive
ビブリオ・バルニフィカス感染	Vibrio vulnificus infection
ピログルタミン酸アシドーシス	Pyroglutamic acidosis
ブラストミセス菌性精巣上体炎	Epididymitis blastomyces
ブロモスルフォフタレイン試験	Bromosulphthalein test
プラスミン・インヒビター増加	Plasmin inhibitor increased
プラスミン・インヒビター減少	Plasmin inhibitor decreased
プレボテラ・インターメディア	Prevotella intermedia
ヘモクロマトーシスキャリアー	Haemochromatosis carrier
ペプトストレプトコッカス感染	Peptostreptococcus infection
ボルデテラ・ブロンキセプチカ	Bordetella bronchiseptica
ポルフィリン症スクリーニング	Porphyria screen
マイクロサテライト不安定性癌	Microsatellite instability cancer
マイコプラズマ・サリバリウム	Mycoplasma salivarium
マイコプラズマ性気管気管支炎	Tracheobronchitis mycoplasmal
ミエロペルオキシダーゼ欠損症	Myeloperoxidase deficiency
ミコバクテリウムウルセランス	Mycobacterium ulcerans
ムンプス性多発ニューロパチー	Polyneuropathy mumps
メサンギウム増殖性糸球体腎炎	Mesangioproliferative glomerulonephritis
モノクローナル免疫グロブリン	Monoclonal immunoglobulin
リンパ球サブセットパネル検査	Lymphocyte subset panel
リンパ球性脈絡髄膜炎ウイルス	Lymphocytic choriomeningitis virus
レジオネラ・ニューモフィーラ	Legionella pneumophila
レプトスピラインターロガンス	Leptospira interrogans
レーザー走査型サイトメトリー	Laser scanning cytometry
ワクチン再投与による同一反応	Vaccine positive rechallenge
ワクチン接種部位リンパ節腫脹	Vaccination site lymphadenopathy
低カリウム血性アルカローシス	Alkalosis hypokalaemic
低クロール血性アルカローシス	Alkalosis hypochloraemic
体外カウンターパルセーション	External counterpulsation
先天性低トランスフェリン血症	Congenital hypotransferrinaemia
先天性異常フィブリノゲン血症	Congenital dysfibrinogenaemia
医療機器エクステンション損傷	Device extension damage
十二指腸切開乳頭部局所切除術	Transduodenal ampullectomy
嚢胞性線維症遺伝子キャリアー	Cystic fibrosis carrier
外科的プレコンディショニング	Surgical preconditioning
大腿骨寛骨臼インピンジメント	Femoroacetabular impingement
家族性凍瘡状エリテマトーデス	Familial chilblain lupus
尿中グリコサミノグリカン増加	Urinary glycosaminoglycans increased
尿中デオキシピリジノリン増加	Deoxypyridinoline urine increased
後天性無巨核球性血小板減少症	Acquired amegakaryocytic thrombocytopenia
後天性異常フィブリノゲン血症	Acquired dysfibrinogenaemia
心房性ナトリウム利尿ペプチド	Atrial natriuretic peptide
心血管系デコンディショニング	Cardiovascular deconditioning
心電図ペースメーカースパイク	Electrocardiogram pacemaker spike
抗甲状腺薬による関節炎症候群	Antithyroid arthritis syndrome
播種性パラコクシジオイデス症	Disseminated paracoccidioidomycosis
放射性アレルゲン吸着検査陰性	Radioallergosorbent test negative
放射性アレルゲン吸着検査陽性	Radioallergosorbent test positive
新生児同種免疫性血小板減少症	Neonatal alloimmune thrombocytopenia
末梢性感覚運動ニューロパチー	Peripheral sensorimotor neuropathy
治療抵抗性血管中心性リンパ腫	Angiocentric lymphoma refractory
炎症性腸疾患に伴うぶどう膜炎	Enteropathic uveitis
白血球アルカリホスファターゼ	Leukocyte alkaline phosphatase
眼球クローヌスミオクローヌス	Opsoclonus myoclonus
眼球気相プレチスモグラム正常	Oculopneumoplethysmogram normal
眼球気相プレチスモグラム異常	Oculopneumoplethysmogram abnormal
破骨細胞分化抑制因子リガンド	Osteoprotegerin ligand
統合失調型パーソナリティ障害	Schizotypal personality disorder
統合失調質パーソナリティ障害	Schizoid personality disorder
肝細胞癌・胆管細胞癌の混合型	Mixed hepatocellular cholangiocarcinoma
腎クレアチニン・クリアランス	Creatinine renal clearance
自己免疫性副甲状腺機能低下症	Autoimmune hypoparathyroidism
血中アイソトープクリアランス	Blood isotope clearance
血中アンドロステンジオン増加	Blood androstenedione increased
血中アンドロステンジオン減少	Blood androstenedione decreased
血中クレアチンホスホキナーゼ	Blood creatine phosphokinase
術中神経生理学的モニタリング	Intraoperative neurophysiologic monitoring
表在性静脈網に沿った色素沈着	Serpentine supravenous hyperpigmentation
製品コミュニケーションの問題	Product communication issue
見かけの鉱質コルチコイド過剰	Apparent mineralocorticoid excess
輸血によるマイクロキメリズム	Transfusion microchimerism
進行性ミオクローヌスてんかん	Progressive myoclonic epilepsy
遊離サイロキシンインデックス	Free thyroxine index
遠隔転移を伴う直腸Ｓ状結腸癌	Rectosigmoid cancer metastatic
遠隔転移を伴う骨外性軟骨肉腫	Extraskeletal chondrosarcoma metastatic
遺伝性運動感覚ニューロパチー	Neuropathic muscular atrophy
長軸方向グローバルストレイン	Global longitudinal strain
食道胃十二指腸内視鏡検査正常	Oesophagogastroduodenoscopy normal
食道胃十二指腸内視鏡検査異常	Oesophagogastroduodenoscopy abnormal
αヒドロキシ酪酸脱水素酵素	Alpha hydroxybutyrate dehydrogenase
くすぶり型全身性肥満細胞症	Smouldering systemic mastocytosis
てんかん性めまい（回転性）	Vertiginous epilepsy
アクチノバチラス・セミニス	Actinobacillus seminis
アグリゲイティバクター感染	Aggregatibacter infection
アスペルギルスフミガーツス	Aspergillus fumigatus
アテローム性動脈硬化症予防	Atherosclerosis prophylaxis
アデノウイルス性間質性腎炎	Adenovirus interstitial nephritis
アデノシンデアミナーゼ増加	Adenosine deaminase increased
アデノシンデアミナーゼ正常	Adenosine deaminase normal
アデノシンデアミナーゼ減少	Adenosine deaminase decreased
アデノシンデアミナーゼ異常	Adenosine deaminase abnormal
アナフィラキシー性輸血反応	Anaphylactic transfusion reaction
アフリカ・トリパノソーマ症	African trypanosomiasis
アメリカ・トリパノソーマ症	American trypanosomiasis
アレルギー性気管支肺真菌症	Allergic bronchopulmonary mycosis
イムノタクトイド糸球体腎炎	Immunotactoid glomerulonephritis
インターロイキン遺伝子発現	Interleukin gene expression
インフルエンザウイルス検査	Influenza virus test
ウレアプラズマ性精巣上体炎	Epididymitis ureaplasmal
エリスロポエチン欠乏性貧血	Erythropoietin deficiency anaemia
エルウィニア・アミロポーラ	Erwinia amylovora
エルウィニア・カロトボーラ	Pectobacterium carotovorum
エレクトロポレーション療法	Electroporation therapy
エロモナス・サルモニサイダ	Aeromonas salmonicida
エンテロバクター・クロアケ	Enterobacter cloacae
オリゴクローナルバンド測定	Oligoclonal band assay
オルソポックスウイルス感染	Orthopox virus infection
カテーテル留置部位そう痒感	Catheter site pruritus
カテーテル留置部位異常感覚	Catheter site paraesthesia
カテーテル留置部位皮膚剥脱	Catheter site exfoliation
カテーテル留置部位知覚低下	Catheter site hypoaesthesia
カテーテル留置部位過敏反応	Catheter site hypersensitivity
カプリポックスウイルス感染	Capripox viral infection
カプリポックスウイルス検査	Capripoxvirus test
カンピロバクター・レクツス	Campylobacter rectus
クインスランドダニ性チフス	Queensland tick typhus
クリプトコッカス性真菌血症	Cryptococcal fungaemia
クロストリジウムディフシレ	Clostridioides difficile
クロストリジウム菌性胃腸炎	Gastroenteritis clostridial
クロノバクター性壊死性腸炎	Cronobacter necrotising enterocolitis
グリコーゲンアカントーシス	Glycogenic acanthosis
グルタチオン合成酵素欠損症	Glutathione synthetase deficiency
グルタミン酸脱水素酵素増加	Glutamate dehydrogenase increased
グルタミン酸脱水素酵素減少	Glutamate dehydrogenase decreased
コクシエラ・バーネッティイ	Coxiella burnetii
コリネバクテリウム・エクイ	Rhodococcus equi
コリネバクテリウム性敗血症	Corynebacterium sepsis
コリネバクテリウム性菌血症	Corynebacterium bacteraemia
コリネバクテリウム検査陰性	Corynebacterium test negative
コリネバクテリウム検査陽性	Corynebacterium test positive
コンピュータ断層撮影胃造影	Computed tomographic gastrography
サイトメガロウイルス性肺炎	Pneumonia cytomegaloviral
サイトメガロウイルス性胃炎	Cytomegalovirus gastritis
サイトメガロウイルス性脳炎	Encephalitis cytomegalovirus
サイトメガロウイルス性腎炎	Cytomegalovirus nephritis
サイトメガロウイルス性腸炎	Cytomegalovirus enterocolitis
サイトメガロウイルス性膵炎	Cytomegalovirus pancreatitis
サイトメガロウイルス症候群	Cytomegalovirus syndrome
サイロキシン結合グロブリン	Thyroxin binding globulin
サーファクタントプロテイン	Surfactant protein
シノリゾビウム・フレディイ	Sinorhizobium fredii
ジアミンオキシダーゼ欠乏症	Diamine oxidase deficiency
ジヒドロテストステロン増加	Dihydrotestosterone increased
ジヒドロテストステロン減少	Dihydrotestosterone decreased
ジヒドロテストステロン濃度	Dihydrotestosterone level
スタージ・ウェーバー症候群	Encephalocutaneous angiomatosis
ストレプトキナーゼ抗体増加	Streptokinase antibody increased
ストレプトコッカス・スイス	Streptococcus suis
ストレプトコッカス・ボビス	Streptococcus bovis
セラチア・リクファシエンス	Serratia liquefaciens
セロコンバージョン検査陰性	Seroconversion test negative
セロコンバージョン検査陽性	Seroconversion test positive
ソマトスタチンアナログ療法	Somatostatin analogue therapy
タナトフォリック骨異形成症	Thanatophoric dysplasia
チオレドキシン還元酵素活性	Thioredoxin reductase activity
チャンディプラウイルス感染	Chandipura virus infection
デング熱ブレイクスルー感染	Breakthrough dengue fever
トキソプラズマ血清学的検査	Toxoplasma serology
トランスフェリン受容体増加	Transferrin receptor increased
トランスフェリン受容体減少	Transferrin receptor decreased
トランスフェリン受容体測定	Transferrin receptor assay
トランスフェリン飽和度上昇	Transferrin saturation increased
トランスフェリン飽和度低下	Transferrin saturation decreased
トランスフェリン飽和度異常	Transferrin saturation abnormal
トリパノソーマコンゴレンス	Trypanosoma congolense
トロンボプラスチン抗体陰性	Thromboplastin antibody negative
トロンボプラスチン抗体陽性	Thromboplastin antibody positive
ニトロソモナス・ユウロペア	Nitrosomonas europaea
バシラス・スリンジエンシス	Bacillus thuringiensis
ヒトポリオーマウイルス感染	Human polyomavirus infection
ビジュアルアナログスケール	Visual analogue scale
