member	name	display	category	standard_unit	unit_ucum	data_type	state_class	aggregation_policy	loinc	window	panel	aggregation_methods	derived	description	since
BLOOD_PRESSURE_DIASTOLIC	diastolicPressures	Blood Pressure Diastolic	Vital Signs	mmHg	mm[Hg]	mix	instant	last	8462-4	00:00	blood_pressure	avg,max		Blood pressure during heart diastole	1.4.0
BLOOD_PRESSURE_SYSTOLIC	systolicPressures	Blood Pressure Systolic	Vital Signs	mmHg	mm[Hg]	mix	instant	last	8480-6	00:00	blood_pressure	avg,max		Blood pressure during heart systole	1.4.0
BMI	bmis	BMI	Body Composition	count	{#}	series	instant	last	39156-5	00:00	body_composition	last		Ratio of weight to height	1.4.0
BMR	basalMetabolicRate	BMR	Body Composition	kcal	kcal	mix	instant	last		00:00	body_composition			Energy required to maintain basic physiological functions	1.4.0
BODY_AGE	bodyAge	Body Age	Body Composition	count	{#}	mix	instant	last		00:00	body_composition			Physiological age based on body composition	1.4.0
BODY_FAT_PERCENTAGE	bodyFatPercentages	Body Fat Percentage	Body Composition	%	%	series	instant	last		00:00	body_composition	last		Percentage of body fat relative to total body weight	1.4.0
BODY_SINEW	bodySinew	Body Sinew	Body Composition	count	{#}	series	instant	last		00:00	body_composition			Tendon mass	1.4.0
BODY_TEMPERATURE	bodyTemperatures	Body Temperature	Vital Signs	°C	Cel	mix	instant	last	8310-5	00:00		avg		Human body core temperature	1.4.0
BODY_WATER_PERCENTAGE	bodyWater	Body Water Percentage	Body Composition	%	%	mix	instant	last		00:00	body_composition			Percentage of body water relative to total body weight	1.4.0
BONE_MASS	bodyBone	Bone Mass	Body Composition	kg	kg	mix	instant	last		00:00	body_composition			Bone mass weight	1.4.0
CALORIES_ACTIVE	activeCalories	Calories Active	Activity Metrics	kcal	kcal	series	cumulative	sum_delta		00:00		total		Calories burned through exercise	1.4.0
CALORIES_BASAL	basalCalories	Calories Basal	Activity Metrics	kcal	kcal	series	cumulative	sum_delta		00:00		total		Calories burned through basal metabolism	1.4.0
DAILY_CALORIES_TOTAL	dailyTotalCalories	Daily Calories Total	Activity Metrics	kcal	kcal	summary	provider_daily	provider_value		00:00				Total calories including active and basal metabolism	1.4.0
CHOLESTEROL_HDL	bodyCholesterolHDL	Cholesterol HDL	Metabolic Metrics	mmol/L	mmol/L	series	instant	last		00:00	lipids			High-density lipoprotein cholesterol level	1.4.0
CHOLESTEROL_LDL	bodyCholesterolLDL	Cholesterol LDL	Metabolic Metrics	mmol/L	mmol/L	series	instant	last		00:00	lipids			Low-density lipoprotein cholesterol level	1.4.0
CHOLESTEROL_TOTAL	bodyCholesterol	Cholesterol Total	Metabolic Metrics	mmol/L	mmol/L	series	instant	last		00:00	lipids			Total cholesterol level in blood	1.4.0
CHOLESTEROL_TRIGLYCERIDES	bodyCholesterolTriglycerides	Cholesterol Triglycerides	Metabolic Metrics	mmol/L	mmol/L	series	instant	last		00:00	lipids			Triglyceride level in blood	1.4.0
CYCLING_DISTANCE	cyclingDistances	Cycling Distance	Activity Metrics	m	m	series	cumulative	sum_delta		00:00		total		Total cycling distance	1.4.0
CYCLING_DURATION	cyclingDuration	Cycling Duration	Activity Metrics	ms	ms	series	instant	last		00:00				Duration of cycling	1.4.0
CYCLING_SPEED	cyclingSpeeds	Cycling Speed	Activity Metrics	m/s	m/s	series	instant	last		00:00				Average cycling speed	1.4.0
DAILY_CALORIES_ACTIVE	dailyCaloriesActive	Daily Calories Active	Activity Metrics	kcal	kcal	summary	provider_daily	provider_value		00:00				Daily summary of calories burned through exercise	1.4.0
DAILY_CALORIES_BASAL	dailyCaloriesBasal	Daily Calories Basal	Activity Metrics	kcal	kcal	summary	provider_daily	provider_value		00:00				Daily summary of calories burned through basal metabolism	1.4.0
DAILY_DISTANCE	dailyDistance	Daily Distance	Activity Metrics	m	m	summary	provider_daily	provider_value		00:00				Daily summary of walking or exercise distance	1.4.0
DEEP_SLEEP	sleepAnalysis_Asleep(Deep)	Deep Sleep	Sleep Metrics	ms	ms	series	session	duration_union		18:00		total		Deep sleep duration	1.4.0
DIETARY_ALCOHOL	alcohol	Dietary Alcohol	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Alcohol intake amount	1.4.0
DIETARY_CAFFEINE	caffeine	Dietary Caffeine	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Caffeine intake amount	1.4.0
DIETARY_CARBS	carbohydrates	Dietary Carbs	Nutrition Intake	g	g	mix	cumulative	sum_delta		00:00				Carbohydrate intake amount	1.4.0
DIETARY_CHOLESTEROL	cholesterol	Dietary Cholesterol	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Dietary cholesterol intake amount	1.4.0
DIETARY_SODIUM	sodium	Dietary Sodium	Nutrition Intake	mg	mg	mix	cumulative	sum_delta		00:00				Dietary sodium intake amount	1.4.0
DIETARY_ENERGY	energyes	Dietary Energy	Nutrition Intake	kcal	kcal	mix	cumulative	sum_delta		00:00				Total energy intake amount	1.4.0
DIETARY_FATS	fats	Dietary Fats	Nutrition Intake	g	g	mix	cumulative	sum_delta		00:00				Fat intake amount	1.4.0
DIETARY_FIBRE	fibre	Dietary Fibre	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Dietary fiber intake amount	1.4.0
DIETARY_MONOUNSATURATED	monounsaturated	Dietary Monounsaturated	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Monounsaturated fatty acid intake amount	1.4.0
DIETARY_OMEGA3	omega3	Dietary Omega3	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Omega-3 fatty acid intake amount	1.4.0
DIETARY_OMEGA6	omega6	Dietary Omega6	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Omega-6 fatty acid intake amount	1.4.0
DIETARY_POLYUNSATURATED	polyunsaturated	Dietary Polyunsaturated	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Polyunsaturated fatty acid intake amount	1.4.0
DIETARY_PROTEIN	proteins	Dietary Protein	Nutrition Intake	g	g	mix	cumulative	sum_delta		00:00				Protein intake amount	1.4.0
DIETARY_SATURATED	saturated	Dietary Saturated	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Saturated fatty acid intake amount	1.4.0
DIETARY_SUGAR	sugar	Dietary Sugar	Nutrition Intake	g	g	series	cumulative	sum_delta		00:00				Sugar intake amount	1.4.0
DIETARY_WATER	waters	Dietary Water	Nutrition Intake	L	L	series	cumulative	sum_delta		00:00		total		Daily water intake	1.4.0
DISTANCE	walkingRunningDistances	Distance	Activity Metrics	m	m	series	cumulative	sum_delta		00:00		total		Walking or exercise distance	1.4.0
WALKING_RUNNING_DURATION	walkingRunningDuration	Walking Running Duration	Activity Metrics	ms	ms	series	instant	last		00:00				Duration of walking and running	1.4.0
ELECTROCARDIOGRAM_VOLTAGE	electrocardiogramVoltage	Electrocardiogram Voltage	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram voltage signal	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD1	electrocardiogramVoltageLead1	Electrocardiogram Voltage Lead1	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram lead I voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD2	electrocardiogramVoltageLead2	Electrocardiogram Voltage Lead2	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram lead II voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD3	electrocardiogramVoltageLead3	Electrocardiogram Voltage Lead3	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram lead III voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_AVF	electrocardiogramVoltageLeadAvf	Electrocardiogram Voltage Lead AVF	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram aVF lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_AVL	electrocardiogramVoltageLeadAvl	Electrocardiogram Voltage Lead AVL	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram aVL lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_AVR	electrocardiogramVoltageLeadAvr	Electrocardiogram Voltage Lead AVR	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram aVR lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V1	electrocardiogramVoltageLeadV1	Electrocardiogram Voltage Lead V1	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V1 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V2	electrocardiogramVoltageLeadV2	Electrocardiogram Voltage Lead V2	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V2 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V3	electrocardiogramVoltageLeadV3	Electrocardiogram Voltage Lead V3	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V3 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V3R	electrocardiogramVoltageLeadV3R	Electrocardiogram Voltage Lead V3R	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V3R lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V4	electrocardiogramVoltageLeadV4	Electrocardiogram Voltage Lead V4	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V4 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V4R	electrocardiogramVoltageLeadV4R	Electrocardiogram Voltage Lead V4R	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V4R lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V5	electrocardiogramVoltageLeadV5	Electrocardiogram Voltage Lead V5	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V5 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V5R	electrocardiogramVoltageLeadV5R	Electrocardiogram Voltage Lead V5R	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V5R lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V6	electrocardiogramVoltageLeadV6	Electrocardiogram Voltage Lead V6	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V6 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V7	electrocardiogramVoltageLeadV7	Electrocardiogram Voltage Lead V7	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V7 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V8	electrocardiogramVoltageLeadV8	Electrocardiogram Voltage Lead V8	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V8 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_LEAD_V9	electrocardiogramVoltageLeadV9	Electrocardiogram Voltage Lead V9	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram V9 lead voltage	1.4.0
ELECTROCARDIOGRAM_VOLTAGE_POSTERIOR_LEADS	electrocardiogramVoltagePosteriorLeads	Electrocardiogram Voltage Posterior Leads	Medical Metrics	mV	mV	series	instant	last		00:00				Electrocardiogram posterior lead voltage	1.4.0
FAT_FREE_WEIGHT	bodyFatFreeWeight	Fat Free Weight	Body Composition	kg	kg	mix	instant	last		00:00	body_composition			Fat-free body weight	1.4.0
FLOORS_CLIMBED	floors	Floors Climbed	Activity Metrics	count	{#}	series	cumulative	sum_delta		00:00		total		Number of floors climbed	1.4.0
FLOORS_CLIMBED_DURATION	floorsDuration	Floors Climbed Duration	Activity Metrics	ms	ms	series	instant	last		00:00				Duration of floors climbed	1.4.0
DAILY_FLOORS_CLIMBED	dailyFloors	Daily Floors Climbed	Activity Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of floors climbed	1.4.0
HEART_RATE	heartRates	Heart Rate	Vital Signs	count/min	/min	series	instant	mean_min_max	8867-4	00:00		avg,max,min,morning_hr_jump,nighttime_resting_hr	morning_hr_jump,nighttime_resting_hr	Number of heartbeats per minute	1.4.0
HEART_RATE_MAX	heartRateMax	Heart Rate Max	Vital Signs	bpm	/min	series	instant	last		00:00				Maximum heart rate during time range	1.4.0
DAILY_HEART_RATE_MAX	dailyHeartRateMax	Daily Heart Rate Max	Vital Signs	bpm	/min	summary	provider_daily	provider_value		00:00				Maximum heart rate during time range	1.4.0
HEART_RATE_MIN	heartRateMin	Heart Rate Min	Vital Signs	bpm	/min	series	instant	last		00:00				Minimum heart rate during time range	1.4.0
DAILY_HEART_RATE_MIN	dailyHeartRateMin	Daily Heart Rate Min	Vital Signs	bpm	/min	summary	provider_daily	provider_value		00:00				Minimum heart rate during time range	1.4.0
DAILY_HEART_RATE_AVG	dailyHeartRateAvg	Daily Heart Rate Avg	Vital Signs	bpm	/min	summary	provider_daily	provider_value		00:00				Avg heart rate during time range	1.4.0
RESTING_HEART_RATE	restingHeartRates	Resting Heart Rate	Vital Signs	count/min	/min	series	instant	mean_min_max	40443-4	00:00		avg,min,max		Heart rate at rest	1.4.0
DAILY_HEART_RATE_RESTING	dailyRestingHeartRates	Daily Heart Rate Resting	Vital Signs	count/min	/min	summary	provider_daily	provider_value	40443-4	00:00				Heart rate at rest	1.4.0
HEIGHT	heights	Height	Body Composition	m	m	series	instant	last	8302-2	00:00		last		Body height	1.4.0
HRV	hrvDatas	HRV	Metabolic Metrics	ms	ms	series	instant	mean_min_max		00:00		avg		Heart rate variability	1.4.0
HRV_RMSSD	hrvRMSSD	HRV Rmssd	Metabolic Metrics	ms	ms	series	instant	mean_min_max		00:00		avg		Root mean square of successive differences in heart rate	1.4.0
IGE_BAHA_GRASS	igeBahaGrass	Ige Baha Grass	Medical Metrics	FSU	FSU	series	instant	last		00:00				Baha grass allergen-specific IgE antibody level	1.4.0
IGG_DAIRY	iggDairy	Igg Dairy	Medical Metrics	FSU	FSU	series	instant	last		00:00				Dairy-specific IgG antibody level	1.4.0
INSULIN_INJECTION_LONG_ACTING	insulinInjectionLongActing	Insulin Injection Long Acting	Medical Metrics	unit	U	series	instant	last		00:00				Long-acting insulin injection amount	1.4.0
INSULIN_INJECTION_RAPID_ACTING	insulinInjectionRapidActing	Insulin Injection Rapid Acting	Medical Metrics	unit	U	series	instant	last		00:00				Rapid-acting insulin injection amount	1.4.0
LIGHT_SLEEP	sleepAnalysis_Asleep(Core)	Light Sleep	Sleep Metrics	ms	ms	series	session	duration_union		18:00		total		Light sleep duration	1.4.0
MAX_HEART_RATE_PROFILE	maxHeartRateProfile	Max Heart Rate Profile	Vital Signs	count/min	/min	series	instant	last		00:00				Maximum heart rate set in user profile	1.4.0
MINDFULNESS_MINUTES	mindfulnessMinutes	Mindfulness Minutes	Lifestyle	min	min	series	instant	last		00:00				Mindfulness meditation time	1.4.0
MUSCLE_PERCENTAGE	bodyMuscle	Muscle Percentage	Body Composition	%	%	mix	instant	last		00:00	body_composition			Percentage of muscle relative to total body weight	1.4.0
PROTEIN_PERCENTAGE	bodyProtein	Protein Percentage	Body Composition	%	%	mix	instant	last		00:00	body_composition			Percentage of protein relative to total body weight	1.4.0
RECOVERY_SCORE	recoveryScore	Recovery Score	Performance Metrics	%	%	series	instant	last		00:00				Body recovery status score percentage based on HRV, resting heart rate and other indicators	1.4.0
RECOVERY_TIME	recoveryes	Recovery Time	Performance Metrics	count/min	/min	series	instant	last		00:00				Recommended recovery time	1.4.0
REM_SLEEP	sleepAnalysis_Asleep(REM)	REM Sleep	Sleep Metrics	ms	ms	series	session	duration_union		18:00		total		Rapid eye movement sleep duration	1.4.0
RESPIRATORY_RATE	respiratoryRates	Respiratory Rate	Vital Signs	count/min	/min	series	instant	mean_min_max	9279-1	00:00		avg		Number of breaths per minute	1.4.0
RESPIRATORY_RATE_MIN	respiratoryRateMin	Respiratory Rate Min	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Minimum respiratory rate	1.4.0
RESPIRATORY_RATE_MAX	respiratoryRateMax	Respiratory Rate Max	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Maximum respiratory rate	1.4.0
RESPIRATORY_RATE_AVG	respiratoryRateAvg	Respiratory Rate Avg	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Average respiratory rate	1.4.0
CADENCE	cadence	Cadence	Performance Metrics	steps/min	steps/min	summary	provider_daily	provider_value		00:00				Step cadence during exercise	1.4.0
CADENCE_MIN	cadenceMin	Cadence Min	Performance Metrics	steps/min	steps/min	summary	provider_daily	provider_value		00:00				Minimum step cadence	1.4.0
CADENCE_MAX	cadenceMax	Cadence Max	Performance Metrics	steps/min	steps/min	summary	provider_daily	provider_value		00:00				Maximum step cadence	1.4.0
HRV_MIN	hrvMin	HRV Min	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Minimum heart rate variability	1.4.0
HRV_MAX	hrvMax	HRV Max	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Maximum heart rate variability	1.4.0
STRESS_LEVEL_MIN	stressLevelMin	Stress Level Min	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Minimum stress level	1.4.0
STRESS_LEVEL_MAX	stressLevelMax	Stress Level Max	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Maximum stress level	1.4.0
QTC_INTERVAL	qtcInterval	Qtc Interval	Medical Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Corrected QT interval (heart electrical activity)	1.4.0
QTC_INTERVAL_MIN	qtcIntervalMin	Qtc Interval Min	Medical Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Minimum corrected QT interval	1.4.0
QTC_INTERVAL_MAX	qtcIntervalMax	Qtc Interval Max	Medical Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Maximum corrected QT interval	1.4.0
SHOCK_LEVEL	shockLevel	Shock Level	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Exercise shock/impact level	1.4.0
SHOCK_LEVEL_MIN	shockLevelMin	Shock Level Min	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Minimum shock level	1.4.0
SHOCK_LEVEL_MAX	shockLevelMax	Shock Level Max	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Maximum shock level	1.4.0
STRAIN_MIN	strainMin	Strain Min	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Minimum strain level	1.4.0
STRAIN_MAX	strainMax	Strain Max	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Maximum strain level	1.4.0
HR_ZONE_1_TIME	hrZone1Time	HR Zone 1 Time	Performance Metrics	s	s	summary	provider_daily	provider_value		00:00				Time spent in heart rate zone 1 (50-60% max HR)	1.4.0
HR_ZONE_2_TIME	hrZone2Time	HR Zone 2 Time	Performance Metrics	s	s	summary	provider_daily	provider_value		00:00				Time spent in heart rate zone 2 (60-70% max HR)	1.4.0
HR_ZONE_3_TIME	hrZone3Time	HR Zone 3 Time	Performance Metrics	s	s	summary	provider_daily	provider_value		00:00				Time spent in heart rate zone 3 (70-80% max HR)	1.4.0
HR_ZONE_4_TIME	hrZone4Time	HR Zone 4 Time	Performance Metrics	s	s	summary	provider_daily	provider_value		00:00				Time spent in heart rate zone 4 (80-90% max HR)	1.4.0
HR_ZONE_5_TIME	hrZone5Time	HR Zone 5 Time	Performance Metrics	s	s	summary	provider_daily	provider_value		00:00				Time spent in heart rate zone 5 (90-100% max HR)	1.4.0
NORMAL_BEATS_COUNT	normalBeatsCount	Normal Beats Count	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of normal heartbeats	1.4.0
ABNORMAL_BEATS_COUNT	abnormalBeatsCount	Abnormal Beats Count	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of abnormal heartbeats	1.4.0
UNKNOWN_BEATS_COUNT	unknownBeatsCount	Unknown Beats Count	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of unrecognized heartbeats	1.4.0
NORMAL_RHYTHM_PERCENTAGE	normalRhythmPercentage	Normal Rhythm Percentage	Medical Metrics	%	%	summary	provider_daily	provider_value		00:00				Percentage of normal heart rhythm	1.4.0
ABNORMAL_RHYTHM_PERCENTAGE	abnormalRhythmPercentage	Abnormal Rhythm Percentage	Medical Metrics	%	%	summary	provider_daily	provider_value		00:00				Percentage of abnormal heart rhythm	1.4.0
ARRHYTHMIA_NORMAL_SEGMENTS	arrhythmiaNormalSegments	Arrhythmia Normal Segments	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of normal rhythm segments	1.4.0
ARRHYTHMIA_AFIB_SEGMENTS	arrhythmiaAfibSegments	Arrhythmia Afib Segments	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of atrial fibrillation segments detected	1.4.0
ARRHYTHMIA_OTHER_SEGMENTS	arrhythmiaOtherSegments	Arrhythmia Other Segments	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of other arrhythmia segments	1.4.0
ARRHYTHMIA_NOISE_SEGMENTS	arrhythmiaNoiseSegments	Arrhythmia Noise Segments	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of noise segments	1.4.0
ARRHYTHMIA_AFIB_DURATION	arrhythmiaAfibDuration	Arrhythmia Afib Duration	Medical Metrics	s	s	summary	provider_daily	provider_value		00:00				Total duration of atrial fibrillation	1.4.0
ARRHYTHMIA_AFIB_PERCENTAGE	arrhythmiaAfibPercentage	Arrhythmia Afib Percentage	Medical Metrics	%	%	summary	provider_daily	provider_value		00:00				Percentage of atrial fibrillation time	1.4.0
SKIN_TEMPERATURE	skinTemperature	Skin Temperature	Vital Signs	°C	Cel	series	instant	last	8310-5	00:00				Skin surface temperature measurement	1.4.0
SLEEP_ANALYSIS_ASLEEP_CORE	sleepAnalysis_Asleep(Core)	Sleep Analysis Asleep Core	Sleep Metrics	ms	ms	series	session	duration_union		18:00				Core sleep stage duration in sleep analysis	1.4.0
SLEEP_ANALYSIS_ASLEEP_DEEP	sleepAnalysis_Asleep(Deep)	Sleep Analysis Asleep Deep	Sleep Metrics	ms	ms	series	session	duration_union		18:00				Deep sleep stage duration in sleep analysis	1.4.0
SLEEP_ANALYSIS_ASLEEP_REM	sleepAnalysis_Asleep(REM)	Sleep Analysis Asleep REM	Sleep Metrics	ms	ms	series	session	duration_union		18:00				REM sleep stage duration in sleep analysis	1.4.0
SLEEP_ANALYSIS_ASLEEP_UNSPECIFIED	sleepAnalysis_Asleep(Unspecified)	Sleep Analysis Asleep Unspecified	Sleep Metrics	ms	ms	series	interval	duration_union		18:00				Unspecified sleep stage duration in sleep analysis	1.4.0
SLEEP_ANALYSIS_AWAKE	sleepAnalysis_Awake	Sleep Analysis Awake	Sleep Metrics	ms	ms	series	session	duration_union		18:00				Awake stage duration in sleep analysis	1.4.0
SLEEP_ASLEEP_CORE	sleepAnalysis_Asleep(Core)	Sleep Asleep Core	Sleep Metrics	ms	ms	series	session	duration_union		18:00				Core sleep time	1.4.0
SLEEP_ASLEEP_DEEP	sleepAnalysis_Asleep(Deep)	Sleep Asleep Deep	Sleep Metrics	ms	ms	series	session	duration_union		18:00				Deep sleep time	1.4.0
SLEEP_ASLEEP_REM	sleepAnalysis_Asleep(REM)	Sleep Asleep REM	Sleep Metrics	ms	ms	series	session	duration_union		18:00				REM sleep time	1.4.0
SLEEP_AWAKE	sleepAnalysis_Awake	Sleep Awake	Sleep Metrics	ms	ms	series	session	duration_union		18:00				Awake time during sleep period	1.4.0
SLEEP_CONSISTENCY	sleepConsistency	Sleep Consistency	Sleep Metrics	%	%	series	session	duration_union		18:00				Sleep consistency percentage measuring sleep routine regularity	1.4.0
SLEEP_DISTURBANCES	sleepDisturbances	Sleep Disturbances	Sleep Metrics	count	{#}	series	session	duration_union		18:00		total		Number of disturbances and awakenings during sleep	1.4.0
SLEEP_DURATION	sleepDuration	Sleep Duration	Sleep Metrics	hours	h	series	instant	last		18:00				Total sleep time	1.4.0
SLEEP_EFFICIENCY	sleepEfficiency	Sleep Efficiency	Sleep Metrics	%	%	series	session	duration_union		18:00		avg		Percentage of actual sleep time relative to time in bed	1.4.0
SLEEP_IN_BED	sleepAnalysis_InBed	Sleep In Bed	Sleep Metrics	ms	ms	series	session	duration_union		18:00		total,sleep_onset_latency	sleep_onset_latency	Total time in bed	1.4.0
SLEEP_LATENCY	sleepLatency	Sleep Latency	Sleep Metrics	seconds	s	series	session	duration_union		18:00				Time from lying down to falling asleep	1.4.0
SLEEP_NAP	napDuration	Sleep Nap	Sleep Metrics	ms	ms	series	instant	last		18:00				Short daytime nap duration	1.4.0
SLEEP_PERFORMANCE	sleepPerformance	Sleep Performance	Sleep Metrics	%	%	series	session	duration_union		18:00				Sleep performance score percentage based on actual vs needed sleep time	1.4.0
SLEEP_QUALITY	sleepQuality	Sleep Quality	Sleep Metrics	%	%	series	instant	last		18:00				Sleep quality score	1.4.0
SLEEP_UNSPECIFIED	sleepAnalysis_Asleep(Unspecified)	Sleep Unspecified	Sleep Metrics	ms	ms	series	interval	duration_union		18:00				Unclassified sleep time	1.4.0
SPEED	speeds	Speed	Activity Metrics	m/s	m/s	series	instant	last		00:00				Exercise speed	1.4.0
