# Huawei Health Kit: vendor fields to LOINC 2.83
#
# Huawei Health Kit data types and fields to the catalogue and to LOINC.
# `derived` rows are quantities the sleep record implies but does not carry as a field.
#
# Source, read 2026-09-09:
#   https://developer.huawei.com/consumer/cn/doc/HMSCore-Guides/overview-0000001177423513
#   https://developer.huawei.com/consumer/cn/doc/HMSCore-Guides/health-sampling-data-0000001131423778
#   Data-type overview and the field-level sampling, daily-activity and health-record pages.
#
# Columns:
#   type        the vendor's data type, record class or endpoint, verbatim
#   field       the field inside it, verbatim; empty when the type is the reading
#   metric      the mirobody catalogue name (res/catalog/metrics.tsv); empty when the catalogue has no row
#   loinc       the LOINC code the field means; EMPTY IS A DECLINE, and the note says why
#   confidence  confident = the six LOINC axes agree with the vendor's definition;
#               unverified = close, a person must confirm before a reading is filed under it
#   note        the reasoning; some notes are in Chinese, as they were written
#
# Every code was checked by hand against the LOINC 2.83 axis table on 2026-09-09.
# No vendor API carries a LOINC code of its own. LOINC is copyright Regenstrief
# Institute, Inc. (https://loinc.org/kb/license/); see LICENSE-3RD-PARTY section 3.
# Generated from the maintainers' review tables; edit through a pull request,
# and keep the file loadable by mirobody.translate.devices.
type	field	metric	loinc	confidence	note
com.huawei.sleep_respiratory_detail	type=2				151817; IPAP 吸气压; IEEE 表内为 MDC_PRESS_AWAY_INSP_MAX / LOINC 60951-1；仅在接入呼吸机时才相关
com.huawei.sleep_respiratory_detail	type=3				EPAP 呼气压; 同上，参 LOINC 35410-0 / 38199-6
derived	mean respiratory rate during sleep	dailyRespiratoryRates	103217-6	unverified	Mean respiratory rate（2.75）—— 但该码 SCALE_TYP 为空、CLASS 误置为 HRTRATE.ATOM，是 LOINC 自身缺陷；落码须知
derived	minimum respiratory rate during sleep	dailyMinRespiratoryRates	103218-4	confident	Minimum respiratory rate（2.75）
derived	maximum respiratory rate during sleep	dailyMaxRespiratoryRates	103219-2	unverified	Maximum respiratory rate（2.75）—— 该码 TIME_ASPCT 为 `XXX^min`，与 COMPONENT 的 Maximum 矛盾，是 LOINC 自身缺陷
com.huawei.continuous.ecg_detail					原始波形，落码走 ECG 专用轴（EKG.MEAS 类），不属本仓指标口径
com.huawei.health.record.sleep	all_sleep_time	dailyTotalSleepTime	93832-4	confident	全部睡眠时长，分钟
com.huawei.health.record.sleep	light_sleep_time	dailyLightSleep	93830-8	confident	浅睡时长，分钟 —— 原生「浅睡」，比 Apple asleepCore 直接
com.huawei.health.record.sleep	deep_sleep_time	dailyDeepSleep	93831-6	confident	深睡时长，分钟
com.huawei.health.record.sleep	dream_time	dailyRemSleep	93829-0	confident	「快速眼动时长」= REM，分钟
com.huawei.health.record.sleep	awake_time	dailyAwakeTime	103210-1	unverified	清醒时长；若口径为入睡后累计清醒应改 103215-0 WASO
com.huawei.health.record.sleep	wakeup_count	sleepDisturbances	103211-9	confident	清醒次数 → Number of awakenings（2.75）
com.huawei.health.record.sleep	go_bed_time / off_bed_time	sleepAnalysis_InBed	103213-5	unverified	上床/最后一次离床时间戳，需相减得卧床时长再落 Duration in bed
com.huawei.health.record.sleep	fall_asleep_time / prepare_sleep_time	dailySleepLatency	103212-7	unverified	准备入睡→入睡的差值 = 入睡潜伏期 → Duration of falling asleep
com.huawei.health.record.sleep	sleep_score	sleepQuality			睡眠得分，厂商专有分，LOINC 结构性无码（`97891-6 Sleep score [R-Outcomes]` 是特定问卷量表，不可借用）
com.huawei.health.record.sleep	deep_sleep_part	dailySleepContinuity			深睡连续性得分，专有分
com.huawei.health.record.sleep	sleep_type				1 科学睡眠 / 2 普通睡眠 / 3 零星小睡。建议用作分流键：type=2「普通睡眠」只含 light/deep/awake 无 REM，type=3 只有总时长 —— 落分期码前必须按 type 分流，否则会把缺失当成 0
com.huawei.health.record.ventilator	eventAhi	apneaHypopneaIndex	69990-0	confident	新增：`69990-0` Apnea hypopnea index 24 hour（NRat/Qn）。华为单位 times/h，与 AHI 定义一致。本仓无对应 member，建议新增
com.huawei.health.record.ventilator	obstructiveApneaIndex	obstructiveApneaIndex	70002-1	confident	新增：`70002-1` Obstructive apnea index 24 hour
com.huawei.health.record.ventilator	centerApneaEventTimes		70003-9	unverified	`70003-9` Central apnea index 24 hour 是指数（次/小时），华为该字段是总次数 —— 需除以使用时长换算
com.huawei.health.record.ventilator	hypoventilationIndex				LOINC 无低通气指数独立码（AHI 已含低通气）
com.huawei.health.record.ventilator	snoringEventTimes		103221-8	confident	鼾声事件总次数 → Number of snoring episodes（2.75）
com.huawei.health.record.ventilator	clinicalRespRateMedian				LOINC 无呼吸率中位数码（只有 mean/min/max）
com.huawei.health.record.ventilator	sysMode / pressureBelow95 / lumisTidvol*				呼吸机工程量，落码走 IEEE 11073 表的 MDC_VENT_* / MDC_PRESS_AWAY_* 族
com.huawei.health.record.ventilator	maskOff				面罩脱落次数。建议接进置信分级
com.huawei.continuous.steps.total	steps	dailySteps	41950-7	confident	步数总值；另有 duration 步行时长（分钟）
com.huawei.continuous.calories.burnt.total	calories_total	dailyCaloriesActive	41979-6	confident	千卡
com.huawei.continuous.distance.total	distance	dailyDistance	103208-5	confident	米
com.huawei.daily_activity_summary	steps / activeCalories / exerciseTime / activeHours				四个统计值分别同上；`exerciseTime` → 101691-4（unverified）
com.huawei.daily_activity_summary	stepsGoal / activeCaloriesGoal / exerciseTimeGoal / activeHoursGoal				目标值不是测量值，一律不落码
